NIP;ID;Nazwa;Nazwa 2;01.2022;02.2022;03.2022;04.2022;05.2022;06.2022;07.2022;08.2022;09.2022;10.2022;11.2022;12.2022;01.2023;02.2023;03.2023;04.2023;05.2023;06.2023;07.2023;08.2023;09.2023;10.2023;11.2023;12.2023;01.2024;02.2024;03.2024;04.2024;05.2024;06.2024;07.2024;08.2024;09.2024;10.2024;11.2024;12.2024;01.2025;02.2025;03.2025;04.2025;05.2025;06.2025;07.2025;08.2025;09.2025;10.2025;11.2025;12.2025
5262380182;;Przychodnia KEN (CM Woronicza);;439,02 zł;439,02 zł;439,02 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5251488680;18;Poradnia Lekarska dr Alicja Karney;;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;950,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8982173923;222;PCM Optimum / Orthos;;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5840203541;;LSSP (Lekarska Specjalistyczna Spółdzielnia Pracy);;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7792425870;333;Centrum LA VIE;;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;495,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;355;CM DoktorA;;0,00 zł;0,00 zł;0;1 370,00 zł;1 370,00 zł;1 370,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8992306076;368;Prywatna Poliklinika na Grobli;;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;1 344,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7010343001;;SZPITAL OKULISTYCZNY RETINA;;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;2 154,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5213691717;;Voltamed;;1 541,11 zł;1 541,11 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6482796979;;Salveo Ustroń;;510,00 zł;510,00 zł;510,00 zł;510,00 zł;510,00 zł;510,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5422964757;;Gastromed Białystok;;711,20 zł;711,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;538;AM Medic;;609,75 zł;609,75 zł;609,75 zł;609,75 zł;609,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Gabinet Weterynaryjny Gryf;;540,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5213912615;;Mental Path (dawniej Centrum Terapii i Kreatywności);;407,00 zł;957,00 zł;957,00 zł;957,00 zł;957,00 zł;957,00 zł;0,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6922264302;;Medinet;;1 936,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5671583830;;NZOZ Vitamed Czerwińsk (NIP: 5671583830);;813,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7773358902;;CM Komorniki;;900,00 zł;900,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7921300143;;MedJar;;1 010,40 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5223096548;;CO TAM?;;1 463,41 zł;1 463,41 zł;1 463,41 zł;1 463,41 zł;1 463,41 zł;1 463,41 zł;1 463,41 zł;1 463,41 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9512515321;663;Vaxmed;;1 575,00 zł;1 575,00 zł;1 575,00 zł;1 575,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8762458977;;Centrum Zdrowia Na Skarpie;;850,00 zł;850,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8811376536;652;Esderm;;817,20 zł;817,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5213854438;;Centrum Psychoterapii i Rozwoju Kontakt;;298,10 zł;298,10 zł;298,10 zł;0,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6772444728;671;Centrum Terapii Synteza;;596,20 zł;596,20 zł;0,00 zł;0,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7272771778;;JMC Stomatologia;;908,00 zł;908,00 zł;908,00 zł;908,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5252808164;;Jutro Medical;;1 385,00 zł;1 544,00 zł;1 544,00 zł;1 544,00 zł;1 544,00 zł;1 544,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ortovet;;750,00 zł;750,00 zł;750,00 zł;750,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;748;Przychodnia Weterynaryjna przy Orlej;;714,42 zł;1 165,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7121640630;;Klinika Pięknego Uśmiechu;;1 226,00 zł;1 226,00 zł;1 226,00 zł;1 226,00 zł;1 226,00 zł;1 226,00 zł;1 226,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8361832306;;MW Clinic;;;500,00 zł;500,00 zł;500,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6791253691;836;NZOZ Werra;;;;;;;;1 031,90 zł;1 031,90 zł;1 031,90 zł;1 031,90 zł;1 031,90 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9562319912;;CM Judyta (+ Teledesk);;;;;;;;3 060,00 zł;3 060,00 zł;3 060,00 zł;3 060,00 zł;3 060,00 zł;3 060,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6772250007;;CMC Kraków | MK Vertigo;;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;Przejście na VoIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;508;Na Nowo Wilanów;;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;650,41 zł;0,00 zł;0,00 zł;0,00 zł;0,00 zł;650,41 zł;650,41 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;458;FC Med (Familijne Centrum Medyczne);;1 160,00 zł;1 160,00 zł;1 160,00 zł;1 160,00 zł;1 160,00 zł;1 160,00 zł;1 044,90 zł;1 160,00 zł;1 160,00 zł;1 160,00 zł;1 160,00 zł;1 160,00 zł;1 160,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8943128568;383;Premium Clinic Wrocław;;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;500,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Dental Sand;;1 032,65 zł;1 067,00 zł;0,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5223156256;;CM Jelonki;;957,00 zł;957,00 zł;957,00 zł;957,00 zł;957,00 zł;957,00 zł;957,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8942995292;;Dental Salon;;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;929,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9552385043;;Sanatorium Uzdrowiskowe Marta;;792,00 zł;792,00 zł;792,00 zł;792,00 zł;792,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;1 583,00 zł;przejście na voip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5272651441;;Cinismed;;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;345,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9570303587;;NZOZ Fona-Med;;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 156,90 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8942995292;;Dental Salon;;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6612364481;796;Cudmed;;;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 300,81 zł;1 495,93 zł;1 495,93 zł;1 495,93 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8133690835;674;Alfavet;;900,00 zł;900,00 zł;900,00 zł;0,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;900,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7712886908;;Przychodnia Weterynaryjna Jamniczek (MR);;;;;;;;;;;;;;;;;1 096,46 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Szpital św. Wojciecha;;2 100,00 zł;2 100,00 zł;2 100,00 zł;2 100,00 zł;2 100,00 zł;2 100,00 zł;2 100,00 zł;1 680,00 zł;2 100,00 zł;1 680,00 zł;2 100,00 zł;0,00 zł;2 100,00 zł;2 100,00 zł;2 100,00 zł;2 100,00 zł;2 100,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5252350506;103;NZOZ Sep-Med;;406,50 zł;406,50 zł;406,50 zł;406,50 zł;406,50 zł;406,50 zł;406,50 zł;325,20 zł;325,20 zł;325,20 zł;325,20 zł;325,20 zł;325,20 zł;373,98 zł;373,98 zł;373,98 zł;373,98 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8722425285;912;Odontic Dębica;;;;;;;;;;;;;1 086,97 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7811850291;;SZPITAL PODOLANY POZNAŃ;;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;790,00 zł;908,5;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5862324364;516;HMS Assistance;;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;2 943,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5611596533 ;858;SmartVet (Medyczne Rewolucje);;SmartVet (Medyczne Rewolucje);;;;;;;;;;362,71 zł;468,50 zł;468,50 zł;468,50 zł;468,50 zł;725,15 zł;przejście na VoIP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8481718487;;Fizjonel;;;;;;;;;;;;;;267,56 zł;1 036,80 zł;1 036,80 zł;1 036,80 zł;1 036,80 zł;1 036,80 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5862245682;;Gameta Gdynia;;;;;;;;;;;;;3 510,00 zł;4 036,50 zł;4 036,50 zł;4 036,50 zł;4 036,50 zł;4 036,50 zł;4 036,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8942722074;;M-Med;;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 481,00 zł;1 703,15 zł;1 703,15 zł;1 703,15 zł;1 703,15 zł;1 703,15 zł;1 703,15 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8943144053;;Wrocław Medical Center;;;;;;;;;603,20 zł;813,01 zł;813,01 zł;813,01 zł;813,01 zł;813,01 zł; 934,96    ;934,96 zł;934,96 zł;934,96 zł;934,96 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7011016480;;Centrum Medycyny Konopnej;;1 167,00 zł;1 167,00 zł;1 167,00 zł;1 167,00 zł;1 213,16 zł;1 326,00 zł;1 326,00 zł;1 326,00 zł;1 326,00 zł;1 326,00 zł;1 326,00 zł;1 326,00 zł;1 326,00 zł;1 524,90 zł;1 524,90 zł;1 524,90 zł;1 524,90 zł;1 524,90 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9562304388;;Neuca Med Sp. z o.o.;;;;;;;;;;;;;;;;;451,25 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
9562304388;;Neuca Med Sp. z o.o.;;;;;;;;;;;;;;;;;451,25 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
9562304388;;Neuca Med Sp. z o.o.;;;;;;;;;;;;;;;;;451,25 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
9562304388;;Neuca Med Sp. z o.o.;;;;;;;;;;;;;;;;;451,25 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;1 353,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
7831848096;;Warto Razem Medical Labor Securus Sp. z o. o.;;;;;;;;;;;;;;;;;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
9451974588;;Szczepan Wiecha Sportslab;;;;;;;;;;;376,58 zł;449,00 zł;449,00 zł;532,87 zł;631,35 zł;505,08 zł;631,35 zł;631,35 zł;631,35 zł;631,35 zł;631,35 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;
9541509300;;Poradnia Stomatologiczna - Ewa Klimek;;;;;546,83 zł;965,00 zł;965,00 zł;965,00 zł;965,00 zł;965,00 zł;965,00 zł;965,00 zł;965,00 zł;965,00 zł;1109,75;1 109,75 zł;1 109,75 zł;1 109,75 zł;1 109,75 zł;1 109,75 zł;1 109,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;
9592055978;;Belgravia Medical Piotr Grabowski Spółka Komandytowa;;522,58 zł;600,00 zł;600,00 zł;600,00 zł;600,00 zł;600,00 zł;868,26 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
8291579611;;Niepubliczny Zakład Opieki Zdrowotnej Medicus Spółka Z Ograniczoną Odpowiedzialnością;;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6312382167;;B-Dental Baron Spółka Jawna;;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;
5472200973;;Fundacja Dla Pokoleń;;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;650,41 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
7282799695;;Snzoz Med Med Spółka Z Ograniczoną Odpowiedzialnością;;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1 004,40 zł;1155,06;1 155,06 zł;1 155,06 zł;1 155,06 zł;1 155,06 zł;1 155,06 zł;1 155,06 zł;1 155,06 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
7181974501;;Medessence Olga Cytrynowicz;;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;47,00 zł;;;;;;540,50 zł;540,50 zł;540,50 zł;540,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;
5213782466;;Ratyński Dental Clinic Józefów Spółka Komandytowa;;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;1 910,00 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;2 196,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;
9452222181;;Effi Clinic Spółka Z Ograniczoną Odpowiedzialnością;;625,00 zł;625,00 zł;312,50 zł;625,00 zł;312,50 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;718,75;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;
6751504715;;Ortotop Spółka Z Ograniczoną Odpowiedzialnością;;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1667,5;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;
8581700110;944;Przychodnia Weterynaryjna Jagusz Vet Centrum Hubert Jagusz;;;;;;;;;;;;;;;;;906,50 zł;906,50 zł;906,50 zł;906,50 zł;906,50 zł;906,50 zł;906,50 zł;906,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;
6831994093;;Arwet Rafał Korta I Wspólnicy Spółka Jawna;;853,60 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;
6772450723;416;Euromedica - Europejskie Centrum Medycyny Specjalistycznej Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa;;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;250,00 zł;287,5;287,50 zł;287,50 zł;287,50 zł;287,50 zł;287,50 zł;287,50 zł;287,50 zł;287,50 zł;287,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;
9522076099;;Katarzyna Zielińska Clinical Med;;;;;;;;;;;;;;;;;295,00 zł;295,00 zł;295,00 zł;295,00 zł;295,00 zł;295,00 zł;295,00 zł;295,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;
9571075450;;Trójmiejska Klinika Weterynaryjna;;1 626,02 zł;1 626,02 zł;1 626,02 zł;1 626,02 zł;1 656,79 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;1 785,02 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9571075450;925;Trójmiejska Przychodnia Weterynaryjna Pruszcz Gdański;;;neo;;;;;;;;;;;;1 014,30 zł;1 014,30 zł;1 014,30 zł;1 014,30 zł;1 014,30 zł;1 014,30 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5361922350;335;Ultra Med Spółka Z Ograniczoną Odpowiedzialnością;;;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 364,00 zł;1 568,60 zł;1 568,60 zł;1 568,60 zł;1 568,60 zł;1 568,60 zł;1 568,60 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
