NIP;ID;Nazwa;Nazwa 2;01.2022;02.2022;03.2022;04.2022;05.2022;06.2022;07.2022;08.2022;09.2022;10.2022;11.2022;12.2022;01.2023;02.2023;03.2023;04.2023;05.2023;06.2023;07.2023;08.2023;09.2023;10.2023;11.2023;12.2023;01.2024;02.2024;03.2024;04.2024;05.2024;06.2024;07.2024;08.2024;09.2024;10.2024;11.2024;12.2024;01.2025;02.2025;03.2025;04.2025;05.2025;06.2025;07.2025;08.2025;09.2025;10.2025;11.2025;12.2025
8943083506;261;Centrum Rehabilitacji C.r. Modus Spółka Z Ograniczoną Odpowiedzialnością;CR Modus;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;742,50 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6431621201;257;Blueball Krzysztof Olech;BlueBall Siemianowice Śląskie;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;300,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;345,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;
7492088894;593;Centrum Rehabilitacji I Kardiologii Solutaris Prokopczuk Spółka Jawna;CM Solutaris Kędzierzyn-Koźle;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 300,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;1 495,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;
5262813327;735;Przychodnia Weterynaryjna - Morawscy - Dorota Morawska-Końska;Przychodnia Weterynaryjna Morawscy;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;813,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;
9222695757;;Centrum Okulistyki Oko-Med. Spółka Z Ograniczoną Odpowiedzialnością;Oko Med;780,65 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;
7011106763;922;Interfizjo Spółka Akcyjna;Interfizjo;;;;;;;;;;;;842,42 zł;1 135,43 zł;1 135,43 zł;1 135,43 zł;1 135,43 zł;1 304,43 zł;1 304,43 zł;1 304,43 zł;1 304,43 zł;1 304,43 zł;1 304,43 zł;1 304,43 zł;1 304,43 zł;1 304,43 zł;rezygnacja;rezygnacja;;;;;;;;;;;;;;;;;;;;;
7262648898;785;Poddębina Med W. Piekarska Spółka Komandytowa;Dom Seniora Poddębina;;212,23 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;990,40 zł;1138,96;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;1 138,96 zł;rezygnacja;rezygnacja;;;;;;;;;;;;;;;;;;;;
5213095056;39;Sport Medica Spółka Akcyjna;Sport Medica | Optimum Klinika Głowy i Szyi;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;1 400,00 zł;rezygnacja;rezygnacja;;;;;;;;;;;;;;;;;;;
5222999260;336;Libermedic Grabska - Liberek I. Liberek B. Spółka Jawna;Libermedic;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;623,00 zł;716,45;716,45 zł;716,45 zł;716,45 zł;716,45 zł;716,45 zł;716,45 zł;716,45 zł;716,45 zł;1 034,45 zł;1 034,45 zł;716,45;716,45 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;
9721190768;942;Centrum Medyczne Mediraj Sp. z o. o.;CM MediRaj;;;;;;;;;;;;;620,13 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;1 602,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;
6783144467;;Medtour Sp. z o. o.;DentEstetica;;;;;;;;;;;;;;;;;;;;;634,83 zł;1 465,00 zł;1 465,00 zł; 1 465,00 ; 1 465,00 ; 1 465,00 ;rezygnacja;;;;;;;;;;;;;;;;;;;;;
9141566659;;Max Hemp Spółka Z Ograniczoną Odpowiedzialnością;Max Hemp;960,30 zł;960,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 119,30 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;1 287,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;
6692304416;753;La Dentica Gabinety Stomatologiczne Joanna Sobczyk;La Dentica;750,00 zł;750,00 zł;750,00 zł;750,00 zł;971,90 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;rezygnacja;rezygnacja;;;;;;;;;;;;;;;;;;;
8371638959;1000000062;Klinika HB ;Klinika Hb Dorota Basista;;;;;;;;;;;;;;;;;;;;;;;;;; 528,55 ; 958,00 ; 958,00 ;rezygnacja;rezygnacja;;;;;;;;;;;;;;;;;;
7792008244;642;Przychodnia Weterynaryjna ”Na Polance” Katarzyna Marciniak;Weterynaria na Polance;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł;893,00 zł; 893,00 ; 893,00 ; 893,00 ;rezygnacja;;;;;;;;;;;;;;;;;
9111914587;946;Przychodnia Weterynaryjna Jarosław Garbowski VoIP;;;;;;;;;;;;;;;;396,75 zł;396,75 zł;396,75 zł;396,75 zł;396,75 zł;396,75 zł;396,75 zł;396,75 zł;396,75 zł;396,75 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;
5472100071;590;Nowoczesne Centrum Stomatologii Sypień Spółka z ograniczoną odpowiedzialnością;Stomatologia Sypień;749,00 zł;749,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;908,00 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;
6342945468;571;Dębowa 105 Stomatologia I Medycyna Estetyczna Spółka Z Ograniczoną Odpowiedzialnością;Dębowa 105;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;804,80 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;925,52 zł;rezygnacja;;;;;;;;;;;;;;;;;;
7822767033;248;VBV Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa;Medical Prestige Poznań;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 200,00 zł;1 200,00 zł;1 200,00 zł;1 200,00 zł;1 200,00 zł;1 200,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 403,00 zł;1 403,00 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7822767033;303;VBV Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa;Neo Dent Poznań;990,00 zł;990,00 zł;990,00 zł;538,00 zł;538,00 zł;538,00 zł;538,00 zł;538,00 zł;538,00 zł;990,00 zł;990,00 zł;990,00 zł;1 138,50 zł;1 138,50 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8971849110;;Centrum Serca Lc Spółka Z Ograniczoną Odpowiedzialnością;Centrum Serca Lumina Cordis;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;980,00 zł;1 127,00 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8133791111;887;Fortitudo;Fortitudo;;;;;;;;;;;;;;przejście z voipa na medidesk;1 000,00 zł;1 000,00 zł;1 000,00 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6861691753;828;Niepubliczny Zakład Opieki Zdrowotnej Domowa Opieka Paliatywna Dar-Med Sp. z o. o.;"Dar-Med przez pierwsze 24 miesiące z upustem: 1093,20 zł netto

po 24 miesiącach kwota docelowa: 1261,80 zł netto";;;;;;;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;0,00 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;1 093,20 zł;rezygnacja;;;;;;;;;;;;;;;;;;;
5222586517;;SZPZLO Warszawa Bemowo - Włochy;SZPZLO Warszawa Bemowo - Włochy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6922315643;;Niepubliczny Zakład Opieki Zdrowotnej Ośrodek Medycyny Pracy Sp. z o. o.;OMP Lubin Grupa Medicus (MR);;;;;;;;;;;;;;;;;259,45 zł;1 149,00 zł;1 149,00 zł;1 149,00 zł;1 149,00 zł; 1 149,00 ; 1 149,00 ;;;;;;;;;;;;;;;;;;;;;;;;;
1181640926;;Centrum Medyczne i Rehabilitacji Kriosonik Spółka z ograniczoną odpowiedzialnością Spółka Jawna;Kriosonik Siedlce (upselling Wizyty Domowe);;;;;;;;143,61 zł;636,00 zł;636,00 zł;636,00 zł;636,00 zł;;;;731,40 zł;731,40 zł;731,40 zł;731,40 zł;731,40 zł;731,40 zł;731,40 zł;731,40 zł;731,40 zł;731,40 zł;;;;;;;;;;;;;;;;;;;;;;;
6342823469;89;Mekmed II Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa;Centrum Estetyki Ciała Mekmed II;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1 310,00 zł;1506,5;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;1 506,50 zł;;;;;;;;;;;;;;;;;;
1132457808;441;Centrum Medyczne Damiana Holding Sp. z o. o.;Allenort - Propsyche Myśliborska 44;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;rezygnacja;;;;;;;;;;;;;;;
1132457808;;Centrum Medyczne Damiana Holding Sp. z o. o.;Allenort - Propsyche Przasnyska 6A;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;rezygnacja;;;;;;;;;;;;;;;
1132457808;;Centrum Medyczne Damiana Holding Sp. z o. o.;Allenort - Propsyche Sielecka 22/11;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;966,93 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;1 111,97 zł;rezygnacja;;;;;;;;;;;;;;;
1132457808;;Centrum Medyczne Damiana Holding Sp. z o. o.;Allenort - Psychiatra Allenort Białystok Kawaleryjska 9;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;rezygnacja;;;;;;;;;;;;;;;
1132457808;;Centrum Medyczne Damiana Holding Sp. z o. o.;Allenort - Psychomedica Nabielaka 6/2;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;509,60 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;586,04 zł;rezygnacja;;;;;;;;;;;;;;;
9462662763;404;Home Doctor Spółka Z Ograniczoną Odpowiedzialnością;HomeDoctor Telemedycyna;8 673,00 zł;8 918,00 zł;9 555,00 zł;5 439,00 zł;4 459,00 zł;4 214,00 zł;4 361,00 zł;4 900,00 zł;4 655,00 zł;4 900,00 zł;5 586,00 zł;6 419,00 zł;6 664,00 zł;6 909,00 zł;7 350,00 zł;7 399,00 zł;7 889,00 zł;8 036,00 zł;8 134,00 zł;8 820,00 zł;9 065,00 zł;9 555,00 zł;5 978,00 zł;7 350,00 zł;7 350,00 zł;7 350,00 zł;7 350,00 zł;7 350,00 zł;7 350,00 zł;7 350,00 zł;7 350,00 zł;7 350,00 zł;rezygnacja;;;;;;;;;;;;;;;
9462662763;266;Home Doctor Spółka Z Ograniczoną Odpowiedzialnością;HomeDoctor Sp. z o.o.;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;2 640,00 zł;rezygnacja;;;;;;;;;;;;;;;
8381031650;974;Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Lekarska Neuromedyka Emilia Kotewska-Avramčeva;NZOZ Neuromedyka;;;;;;;;;;;;;;;;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;1 296,00 zł;rezygnacja;;;;;;;;;;;;;
6731898059;795;Studio Urody Miracle Paulina Wajda;Studio Urody Miracle;;;306,85 zł;528,46 zł;528,46 zł;528,46 zł;528,46 zł;528,46 zł;528,46 zł;528,46 zł;528,46 zł;528,46 zł;528,46 zł;607,73;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;607,73 zł;rezygnacja;;;;;;;;;;;;;
6760000150;255;Ars-Medica Spółka Z Ograniczoną Odpowiedzialnością;Ars-Medica Kraków;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 150,00 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;1 322,50 zł;Rezygnacja;;;;;;;;;;;;;
9950043000;252;Przychodnia Gro-Dent D. Kamieniarz-Orzeł, S. Orzeł Spółka Jawna;Gro-dent Centrum Zdrowia Rodziny;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;rezygnacja;;;;;;;;;;;;;;
5252615933;21;Centrum Vit Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa;Klinika Witaminowa;0;0;0;0;0;0;345,00 zł;345,00 zł;345,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;690,00 zł;99,00 zł;99,00 zł;99,00 zł;rezygnacja;;;;;;;;;;;;
5840358054;745;Olicon Spółka Z Ograniczoną Odpowiedzialnością;Olicon | Centrum Terapii Wyspa;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;1 000,00 zł;reygnacja;;;;;;;;;;;
1133042357;1000000048;Pragamed Spółka Z Ograniczoną Odpowiedzialnością;PragaMed;;;;;;;;;;;;;;;;;;;;;;;; 916,90 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ; 1 672,00 ;rezygnacja;;;;;;;;;;
9520002091;469;Etos Centrum Edukacji I Doradztwa Służby Zdrowia Spółka Z Ograniczoną Odpowiedzialnością;Przychodnia Etos Zdrowie;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;808,00 zł;929,2;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;929,20 zł;452,2;452,20 zł;452,20 zł;452,20 zł;452,20 zł;452,20 zł;929,2;929,20 zł;rezygnacja;;;;;;;;;;;
