NIP;ID;Nazwa;Nazwa 2;01.2022;02.2022;03.2022;04.2022;05.2022;06.2022;07.2022;08.2022;09.2022;10.2022;11.2022;12.2022;01.2023;02.2023;03.2023;04.2023;05.2023;06.2023;07.2023;08.2023;09.2023;10.2023;11.2023;12.2023;01.2024;02.2024;03.2024;04.2024;05.2024;06.2024;07.2024;08.2024;09.2024;10.2024;11.2024;12.2024;01.2025;02.2025;03.2025;04.2025;05.2025;06.2025;07.2025;08.2025;09.2025;10.2025;11.2025;12.2025
6762484040;688;Centrum Medyczne Multimed Spółka Z Ograniczoną Odpowiedzialnością;Multimed Brzesko;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 010,00 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;1 161,50 zł;rezygnacja;;;;;;;;;;;
6751209442;950;Vital Medic Sp. z o. o. W Upadłości;Vital Medic Kluczbork;;;;;;;;;;;;;;;1 330,87 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;1 875,32 zł;rezygnacja;;;;;;;;;;;
;;;Akademia Zdrowia Pasji i Nauki (VoIP);;;;;;;;47,31 zł;293,30 zł;293,30 zł;293,30 zł;293,30 zł;293,30 zł;293,30 zł;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;811;;Beverly Aesthetic Clinic (VoIP);;;;;419,00 zł;419,00 zł;419,00 zł;419,00 zł;419,00 zł;419,00 zł;419,00 zł;419,00 zł;419,00 zł;419,00 zł;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;CM Judyta;;59;59;59;59;59;59;59;59;59;59;59;59;rezygnacja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9521356916;707;Niepubliczny Zakład Opieki Zdrowotnej Centrum Janusz Leśnik;NZOZ Centrum Hipolitów;1 483,00 zł;1 483,00 zł;1 483,00 zł;1 642,00 zł;1 642,00 zł;1 642,00 zł;1 642,00 zł;1 642,00 zł;1 642,00 zł;1 642,00 zł;1 642,00 zł;1 620,90 zł;1 801,00 zł;2071,15;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;2 071,15 zł;rezygnacja;;;;;;;;;
9552376162;345;Fizjoline Spółka Cywilna Beata Król, Rafał Wokrój;Fizjoline - Szczecin;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;625,00 zł;718,75;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;718,75 zł;przejście na voipa;;;;;;;;;
5252800889;580;Bodyclinic Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa;BodyClinic Warszawa;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 057,00 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1 215,55 zł;1328,216667;1 384,55 zł;1 384,55 zł;1 423,98 zł;1 553,55 zł;1 553,55 zł;1 553,55 zł;1 871,55 zł;1 871,55 zł;1 871,55 zł;rezygnacja;;;;;;;;
8952237825;689;Optovet Sp. z o. o.;OptoVet;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł;726,00 zł; 726,00 ; 726,00 ; 726,00 ; 726,00 ; 726,00 ; 726,00 ; 726,00 ; 726,00 ; 726,00 ;rezygnacja;;;;;;;;;;;
6312291826;;;Med-POZ (VoIP);459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;459,00 zł;rezygnacja;;;;;;;;;;;
5222928662;33;Victi Spółka Z Ograniczoną Odpowiedzialnością;NZOZ Victi;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;243,90 zł;280,49;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;280,49 zł;rezygnacja;;;;;;;;
9512470819;291;Barwijuk Clinics Spółka Z Ograniczoną Odpowiedzialnością Spółka Komandytowa;Medifem Klinika Kobiet (Barwijuk);1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 450,00 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;1 667,50 zł;przejście na voipa;;;;;;;;
1132742696;362;Tulip Medical Group Ziemlewski Spółka Komandytowo-Akcyjna;Klinika Ziemlewski;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;rezygnacja;;;;;;;;
6571309828;;Tygrysek;;;;;;;;;;;;;;;;;;;;;;;;297,35 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;453,97 zł;rezygnacja;;;;;;;;;;;;;
5272523080;862;Lux Med Sp. z o. o.;Stomatologia Makara | Lux Med Sp. z o. o.;;;;;;;;535,48 zł;830,00 zł;830,00 zł;1 014,47 zł;1 116,00 zł;1 116,00 zł;1283,4;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;1 283,40 zł;rezygnacja;;;;;;;;;
5070094210;849;Technodent Medycyna Estetyczna Spółka z o.o.;Medycyna Estetyczna Na Księżym Młynie;;;;;;;87,87 zł;454,00 zł;454,00 zł;454,00 zł;454,00 zł;454,00 zł;454,00 zł;522,10 zł;522,10 zł;522,10 zł;522,10 zł;522,10 zł;623,15 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;1 044,20 zł;zejście na VOIP;;;;;;;;;
5321643282;1000000140;Samodzielny Publiczny Zakład Opieki Zdrowotnej Przychodnia Miejska W Józefowie;Samodzielny Publiczny Zakład Opieki Zdrowotnej Przychodnia Miejska W Józefowie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rezygnacja;;;;;;;
8521777215;357;Aesthetic Med Prywatne Centrum Chirurgii Plastycznej I Rekonstrukcyjnej Andrzej Dmytrzak;Aesthetic Med Szczecin;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 681,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;1 680,00 zł;rezygnacja;;;;;;;;
6751209442;534;Scanmed Spółka Akcyjna;Gastromed Lublin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1 951,22 zł;1 951,22 zł;1 951,22 zł;rezygnacja;;;;;;;;
7010819366;640;Ezra Uksw Spółka Z Ograniczoną Odpowiedzialnością;Ezra Uksw Spółka Z Ograniczoną Odpowiedzialnością;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;2 726,00 zł;przejście na voipa;;;;;;;;
8513208336;812;Fizjo Pomoc Medical Center Sp. z o. o. Spółka Komandytowa;Fizjo Pomoc;;;;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1 006,00 zł;1156,9;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;rezygnacja;;;;;;;;
8992770431;523;Medfemina Sp. z o. o. Szpital Spółka Komandytowa;Medfemina;;;;1 248,13 zł;1 628,00 zł;1 628,00 zł;1 628,00 zł;1 628,00 zł;1 628,00 zł;1 628,00 zł;1 628,00 zł;1 628,00 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;1 872,20 zł;rezygnacja;;;;;;;;
8512074804;344;Medimel Indywidualna Specjalistyczna Praktyka Lekarska Katarzyna Ostrowska-Clark;Medimel;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;490,00 zł;563,5;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;563,50 zł;rezygnacja;;;;;;;
6572922910;557;Re Vitae Medycyna Estetyczna I Chirurgia Plastyczna Spółka Z Ograniczoną Odpowiedzialnością;Re Vitae;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;800,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;920,00 zł;230,00 zł;rezygnacja;;;;;;
9512515114;893;Arenamed-Rehabilitacja Medyczna Sp. z o. o.;Rehadent;;;;;;;;;;877,94 zł;972,00 zł;972,00 zł;972,00 zł;1117,8;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł;1 117,80 zł; 1 319,00 ; 1 319,00 ; 1 319,00 ;rezygnacja;;;;;;
5213976638;1000000037;Medical Clinic of Warsaw (CM Artevena) ;Medical Clinic of Warsaw (CM Artevena) ;;;;;;;;;;;;;;;;;;;;;;;586,4; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 733,00 ; 1 098,75 ; 1 098,75 ; 1 098,75 ; 1 098,75 ; 1 098,75 ; 1 098,75 ; rezygnacja ;;;;;;
8992866645;643;Chirurgia I Dermatologia Estetyczna Dzieci I Dorosłych Bagłaj Spółka Z Ograniczoną Odpowiedzialnością;CHIDE Bagłaj;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;693,55 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;797,58 zł;rezygnacja;;;;;;
9571078158;700;Sim Clinic A. Schreiber K. Chrabkowska Spółka Jawna;Sim Clinic;1 067,00 zł;1 067,00 zł;693,55 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1 067,00 zł;1227,05;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;1 227,05 zł;rezygnacja;;;;;;
7831850472;865;Medicine Clinic Sp. z o. o.;Medicine Clinic (Medyczne Rewolucje);;;;;;;;;;586,55 zł;957,00 zł;957,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;1 116,00 zł;rezygnacja;;;;;;
9691227253;545;Centrum Profilaktyki I Lecznictwa Cenpil Spółka Z Ograniczoną Odpowiedzialnością;CENPiL;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 220,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł;1 403,00 zł; 1 100,00 ; 1 100,00 ; 1 100,00 ; 1 100,00 ; 1 100,00 ; 1 100,00 ; 1 100,00 ; 1 100,00 ; 1 100,00 ; 1 100,00 ; rezygnacja ;;;;;;;
5542485321;876;Consultron S. Listopadzki, J. Szyperski, P. Jarzemski Spółka Jawna;Szpital św.Łukasza;;;;;;;;;916,67 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł;1 100,00 zł; 1 375,00 ; 1 375,00 ; 1 375,00 ; 1 375,00 ;rezygnacja;;;;;
6443013625;691;Pro-Femina Piotr Piech I In. Spółka Jawna;Pro-femina;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1 219,51 zł;1402,44;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;1 402,44 zł;przejście na voip;;;;;
5213983383;1000000013;Saykids Spółka Akcyjna;Saykids;;;;;;;;;;;;;;;;;;;;1 803,00 zł;1 803,00 zł;1 846,61 zł;2 124,10 zł;2789,74;2817,00; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ; 2 817,00 ;3 098,70 zł; 3 098,70 ; 3 098,70 ; 3 098,70 ; 3 098,70 ; 3 098,70 ;rezygnacja;;;
5214038422;1000000107;Cliniclab Specjalistyczne Badania Laboratoryjne Spółka Akcyjna;Cliniclab Specjalistyczne Badania Laboratoryjne Spółka Akcyjna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 208,60 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ; 718,50 ;rezygnacja;;;
8291543085;447;”Centrum Medyczne” Spółka Z Ograniczoną Odpowiedzialnością;CM Zduńska Wola;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;718,00 zł;825,70 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;746,35 zł;rezygnacja;;;
9571120216;872;Projekt Uśmiech Bis Sp. z o.o.;Projekt Uśmiech;;;;;;;;;402,67 zł;755,00 zł;755,00 zł;888,03 zł;1 006,00 zł;1156,9;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 156,90 zł;1 181,74 zł;1 266,90 zł;1 266,90 zł;1 266,90 zł;1 266,90 zł;1 266,90 zł;1 266,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł;1 435,90 zł; 1 651,29 ; 1 651,29 ; 1 651,29 ; 1 651,29 ; 1 651,29 ; 1 651,29 ; 1 651,29 ;rezygnacja;;
6751694710;792;Estidental Spółka Z Ograniczoną Odpowiedzialnością;EstiDental;;87,60 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;350,41 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;402,97 zł;rezygnacja;;
